==========================
Total: 269 (High:59 Medium:169 Low:41 ?:0), 146/269 Fixed, 1151 installed, 248 updatable, 12 exploits, en: 7, ja: 0 alerts

+------------------+------+--------+-----+--------+---------+---------------------------------------------------+
|      CVE-ID      | CVSS | ATTACK | POC |  CERT  |  FIXED  |                        NVD                        |
| CVE-2019-15916   |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-15916   |
| CVE-2019-5436    |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-5436    |
| CVE-2019-9924    |  7.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9924    |
| CVE-2009-5155    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2009-5155    |
| CVE-2014-4043    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-4043    |
| CVE-2014-6272    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-6272    |
| CVE-2015-2059    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-2059    |
| CVE-2015-3308    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-3308    |
| CVE-2018-1000073 |  7.5 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000073 |
| CVE-2018-1000075 |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1000075 |
| CVE-2018-10393   |  7.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10393   |
| CVE-2018-10779   |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10779   |
| CVE-2018-11813   |  7.5 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11813   |
| CVE-2018-12697   |  7.5 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-12697   |
| CVE-2018-14598   |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14598   |
| CVE-2018-14647   |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14647   |
| CVE-2018-16429   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-16429   |
| CVE-2018-16871   |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-16871   |
| CVE-2018-17199   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-17199   |
| CVE-2018-6914    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-6914    |
| CVE-2018-8777    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8777    |
| CVE-2018-8778    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8778    |
| CVE-2018-8779    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-8779    |
| CVE-2019-0217    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-0217    |
| CVE-2019-10208   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10208   |
| CVE-2019-10639   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-10639   |
| CVE-2019-13012   |  7.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13012   |
| CVE-2019-13050   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13050   |
| CVE-2019-13117   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13117   |
| CVE-2019-13118   |  7.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13118   |
| CVE-2019-13232   |  7.5 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13232   |
| CVE-2019-13565   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13565   |
| CVE-2019-15903   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-15903   |
| CVE-2019-16056   |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-16056   |
| CVE-2019-5010    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-5010    |
| CVE-2019-8322    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-8322    |
| CVE-2019-8323    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-8323    |
| CVE-2019-8325    |  7.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-8325    |
| CVE-2019-9923    |  7.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-9923    |
| CVE-2018-5383    |  7.3 |  AV:A  |     | USCERT |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-5383    |
| CVE-2019-15211   |  7.3 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-15211   |
| CVE-2019-6133    |  7.3 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-6133    |
| CVE-2018-20169   |  7.2 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-20169   |
| CVE-2018-9517    |  7.2 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-9517    |
| CVE-2013-4125    |  7.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2013-4125    |
| CVE-2018-1116    |  7.1 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1116    |
| CVE-2018-14609   |  7.1 |  AV:P  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14609   |
| CVE-2018-14612   |  7.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14612   |
| CVE-2018-14613   |  7.1 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14613   |
| CVE-2019-12749   |  7.1 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-12749   |
| CVE-2019-5489    |  7.1 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-5489    |
| CVE-2018-1122    |  7.0 |  AV:L  | POC |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-1122    |
| CVE-2018-14625   |  7.0 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-14625   |
| CVE-2019-11599   |  7.0 |  AV:L  | POC |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11599   |
| CVE-2019-13233   |  7.0 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13233   |
| CVE-2019-3842    |  7.0 |  AV:L  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-3842    |
| CVE-2015-0247    |  6.9 |  AV:L  |     | USCERT | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2015-0247    |
| CVE-2014-9140    |  6.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2014-9140    |
| CVE-2019-11884   |  6.8 |  AV:A  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-11884   |
| CVE-2019-13631   |  6.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-13631   |
| CVE-2019-14283   |  6.8 |  AV:L  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-14283   |
| CVE-2019-1559    |  6.8 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-1559    |
| CVE-2019-3900    |  6.8 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2019-3900    |
| CVE-2019-6109    |  6.8 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-6109    |
| CVE-2019-6110    |  6.8 |  AV:N  | POC |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2019-6110    |
| CVE-2017-5731    |  6.7 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-5731    |
| CVE-2017-5732    |  6.7 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-5732    |
| CVE-2017-5733    |  6.7 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-5733    |
| CVE-2017-5734    |  6.7 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-5734    |
| CVE-2017-5735    |  6.7 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2017-5735    |
| CVE-2018-0739    |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-0739    |
| CVE-2018-10360   |  6.5 |  AV:N  |     |        | unfixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10360   |
| CVE-2018-10963   |  6.5 |  AV:L  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-10963   |
| CVE-2018-11212   |  6.5 |  AV:N  |     |        |   fixed | https://nvd.nist.gov/vuln/detail/CVE-2018-11212   |
